City,Japanese,Prefecture,Population,Area,Density,Founded
Tosashimizu,土佐清水市,Kōchi,"12,717",266.34,47.7,1954-08-01
Susaki,須崎市,Kōchi,"25,679",135.46,190,1954-10-01
Tosa,土佐市,Kōchi,"29,726",91.59,325,1959-01-01
Muroto,室戸市,Kōchi,"12,451",248.22,50.2,1959-03-01
Nankoku,南国市,Kōchi,"50,315",125.35,401,1959-10-01
Shimanto,四万十市,Kōchi,"37,182",632.42,58.8,2005-04-10
Kami,香美市,Kōchi,"29,144",538.22,54.1,2006-03-01
KonanKōnan,香南市,Kōchi,"34,084",126.49,269,2006-03-01
Kumamoto,熊本市,Kumamoto,"738,907",267.23,"2,509",1889-04-01
Yatsushiro,八代市,Kumamoto,"134,491",680.59,198,1940-09-01
Hitoyoshi,人吉市,Kumamoto,"36,556",210.55,174,1942-02-11
Arao,荒尾市,Kumamoto,"55,505",57.15,971,1942-04-01
Minamata,水俣市,Kumamoto,"28,123",162.88,173,1949-04-01
Tamana,玉名市,Kumamoto,"70,747",152.55,464,1954-04-01
Yamaga,山鹿市,Kumamoto,"56,741",299.67,189,1954-04-01
Kikuchi,菊池市,Kumamoto,"51,471",276.66,186,1958-08-01
Uto,宇土市,Kumamoto,"37,897",74.19,511,1958-10-01
Kami-Amakusa,上天草市,Kumamoto,"31,051",126.13,246,2004-03-31
Uki,宇城市,Kumamoto,"62,718",188.56,333,2005-01-15
Aso,阿蘇市,Kumamoto,"29,149",376.25,77.5,2005-02-11
KoshiKōshi,合志市,Kumamoto,"53,490",53.17,"1,006",2006-02-27
Amakusa,天草市,Kumamoto,"93,047",683.17,136,2006-03-27
Kyoto,京都市,Kyoto,"1,464,890",827.90,"1,800",1889-04-01
Fukuchiyama,福知山市,Kyoto,"80,836",552.57,146,1937-04-01
Maizuru,舞鶴市,Kyoto,"90,461",342.15,264,1943-05-27
Ayabe,綾部市,Kyoto,"37,081",347.11,107,1950-08-01
Uji,宇治市,Kyoto,"191,297",67.55,"2,832",1951-03-01
Miyazu,宮津市,Kyoto,"20,565",169.32,121,1954-06-01
Kameoka,亀岡市,Kyoto,"93,641",224.90,416,1955-01-01
JoyoJōyō,城陽市,Kyoto,"80,795",32.74,"2,468",1972-05-03
MukoMukō,向日市,Kyoto,"55,137",7.67,"7,189",1972-10-01
NagaokakyoNagaokakyō,長岡京市,Kyoto,"79,031",19.18,"4,120",1972-10-01
Yawata,八幡市,Kyoto,"73,822",24.37,"3,029",1977-11-01
KyotanabeKyōtanabe,京田辺市,Kyoto,"65,211",42.94,"1,519",1997-04-01
KyotangoKyōtango,京丹後市,Kyoto,"60,980",501.84,122,2004-04-01
Nantan,南丹市,Kyoto,"35,937",616.31,58.3,2006-06-01
Kizugawa,木津川市,Kyoto,"66,783",85.12,785,2007-03-12
Yokkaichi,四日市市,Mie,"306,584",205.53,"1,492",1897-08-01
Matsusaka,松阪市,Mie,"169,571",623.82,272,1933-02-01
Kuwana,桑名市,Mie,"140,816",136.61,"1,031",1937-04-01
Suzuka,鈴鹿市,Mie,"197,437",194.67,"1,014",1942-12-01
Nabari,名張市,Mie,"81,184",129.76,626,1954-03-31
Owase,尾鷲市,Mie,"21,272",193.16,110,1954-06-20
Kameyama,亀山市,Mie,"50,304",190.91,263,1954-10-01
Toba,鳥羽市,Mie,"22,286",107.98,206,1954-11-01
Inabe,いなべ市,Mie,"46,676",219.58,213,2003-12-01
Shima,志摩市,Mie,"56,758",179.70,316,2004-10-01
Iga,伊賀市,Mie,"99,662",558.17,179,2004-11-01
Ise,伊勢市,Mie,"133,547",208.53,640,2005-11-01
Kumano,熊野市,Mie,"20,477",373.63,54.8,2005-11-01
Tsu,津市,Mie,"289,215",710.81,407,2006-01-01
Sendai,仙台市,Miyagi,"1,091,407",783.54,"1,314",1889-04-01
Ishinomaki,石巻市,Miyagi,"163,840",555.77,295,1933-04-01
Shiogama,塩竈市,Miyagi,"58,057",17.86,"3,251",1941-11-23
Shiroishi,白石市,Miyagi,"38,629",286.47,135,1954-04-01
Natori,名取市,Miyagi,"69,610",100.06,696,1958-10-01
Kakuda,角田市,Miyagi,"32,559",147.58,221,1958-10-01
TagajoTagajō,多賀城市,Miyagi,"63,200",19.65,"3,216",1971-11-01
Iwanuma,岩沼市,Miyagi,"44,595",60.72,734,1971-11-01
Tome,登米市,Miyagi,"86,940",536.38,162,2005-04-01
Kurihara,栗原市,Miyagi,"77,862",804.93,96.7,2005-04-01
Higashimatsushima,東松島市,Miyagi,"43,238",101.86,424,2005-04-01
Kesennuma,気仙沼市,Miyagi,"64,578",226.67,285,2006-03-31
OsakiŌsaki,大崎市,Miyagi,"137,164",796.76,172,2006-03-31
Tomiya,富谷市,Miyagi,"52,491",49.13,"1,067",2016-10-10
Miyazaki,宮崎市,Miyazaki,"369,473",596.80,619,1924-04-01
MiyakonojoMiyakonojō,都城市,Miyazaki,"169,384",653.31,259,1924-04-01
Nobeoka,延岡市,Miyazaki,"132,480",867.97,153,1933-02-11
Nichinan,日南市,Miyazaki,"43,264",294.46,147,1950-01-01
Kobayashi,小林市,Miyazaki,"40,514",474.23,85.4,1950-04-01
HyugaHyūga,日向市,Miyazaki,"63,066",336.29,188,1951-04-01
Kushima,串間市,Miyazaki,"21,386",294.96,72.5,1954-11-03
Saito,西都市,Miyazaki,"33,290",438.56,75.9,1958-11-01
Ebino,えびの市,Miyazaki,"22,445",283.00,79.3,1970-12-01
Matsumoto,松本市,Nagano,"238,776",978.47,244,1907-05-01
Okaya,岡谷市,Nagano,"53,722",85.14,631,1936-04-01
Suwa,諏訪市,Nagano,"52,671",109.06,483,1941-08-10
Suzaka,須坂市,Nagano,"53,097",149.84,354,1954-04-01
Komoro,小諸市,Nagano,"45,333",98.66,459,1954-04-01
Komagane,駒ヶ根市,Nagano,"34,696",165.92,209,1954-07-01
OmachiŌmachi,大町市,Nagano,"31,276",564.99,55.4,1954-07-01
Iiyama,飯山市,Nagano,"24,155",202.32,119,1954-08-01
Iida,飯田市,Nagano,"107,129",658.76,163,1956-09-30
Chino,茅野市,Nagano,"57,363",266.41,215,1958-08-01
Shiojiri,塩尻市,Nagano,"67,781",290.13,234,1959-04-01
Nagano,長野市,Nagano,"365,950",834.81,438,1966-10-16
Chikuma,千曲市,Nagano,"63,305",119.84,528,2003-09-01
TomiTōmi,東御市,Nagano,"31,211",112.30,278,2004-04-01
Nakano,中野市,Nagano,"46,295",112.06,413,2005-04-01
Saku,佐久市,Nagano,"100,077",423.99,236,2005-04-01
Azumino,安曇野市,Nagano,"97,084",331.82,293,2005-10-01
Ueda,上田市,Nagano,"161,887",552.00,293,2006-03-06
Ina,伊那市,Nagano,"71,937",667.81,108,2006-03-31
Nagasaki,長崎市,Nagasaki,"448,792",406.37,"1,104",1889-04-01
Sasebo,佐世保市,Nagasaki,"254,650",364.00,700,1902-04-01
Shimabara,島原市,Nagasaki,"48,953",82.77,591,1940-04-01
OmuraŌmura,大村市,Nagasaki,"89,650",126.34,710,1942-02-11
Tsushima,対馬市,Nagasaki,"36,347",708.81,51.3,2004-03-01
Iki,壱岐市,Nagasaki,"30,352",138.50,219,2004-03-01
GotoGotō,五島市,Nagasaki,"42,447",420.77,101,2004-08-01
Isahaya,諫早市,Nagasaki,"142,635",312.24,457,2005-03-01
Saikai,西海市,Nagasaki,"32,737",241.95,135,2005-04-01
Hirado,平戸市,Nagasaki,"36,785",235.63,156,2005-10-01
Unzen,雲仙市,Nagasaki,"48,701",206.92,235,2005-10-11
Matsuura,松浦市,Nagasaki,"26,007",130.35,200,2006-01-01
Minamishimabara,南島原市,Nagasaki,"52,347",169.88,308,2006-03-31
Nara,奈良市,Nara,"367,393",276.84,"1,327",1898-02-01
Yamatotakada,大和高田市,Nara,"69,473",16.49,"4,213",1948-01-01
YamatokoriyamaYamatokōriyama,大和郡山市,Nara,"90,223",42.68,"2,114",1954-01-01
Tenri,天理市,Nara,"70,702",86.37,819,1954-04-01
Kashihara,橿原市,Nara,"124,679",39.52,"3,155",1956-02-11
Sakurai,桜井市,Nara,"60,699",98.92,614,1956-09-01
GojoGojō,五條市,Nara,"36,002",292.05,123,1957-10-15
Gose,御所市,Nara,"31,160",60.58,514,1958-03-31
Ikoma,生駒市,Nara,"115,359",53.18,"2,169",1971-11-01
Kashiba,香芝市,Nara,"72,967",24.23,"3,011",1991-10-01
Katsuragi,葛城市,Nara,"35,194",33.73,"1,043",2004-10-01
Uda,宇陀市,Nara,"35,895",247.62,145,2006-01-01
Niigata,新潟市,Niigata,"797,591",726.10,"1,120",1889-04-01
Nagaoka,長岡市,Niigata,"281,222",840.88,334,1906-04-01
Kashiwazaki,柏崎市,Niigata,"93,506",442.70,211,1940-07-01
Shibata,新発田市,Niigata,"103,490",532.82,194,1947-01-01
Ojiya,小千谷市,Niigata,"39,304",155.12,253,1954-03-10
Kamo,加茂市,Niigata,"30,800",133.68,230,1954-03-10
Mitsuke,見附市,Niigata,"42,139",77.96,541,1954-03-31
Murakami,村上市,Niigata,"30,197",142.12,212,1954-03-31
MyokoMyōkō,妙高市,Niigata,"36,837",445.52,82.7,1954-11-01
JoetsuJōetsu,上越市,Niigata,"206,175",973.32,212,1971-04-29
Sado,佐渡市,Niigata,"65,037",855.26,76.0,2004-03-01
Agano,阿賀野市,Niigata,"46,158",192.72,240,2004-04-01
Uonuma,魚沼市,Niigata,"42,334",946.93,44.7,2004-11-01
Minamiuonuma,南魚沼市,Niigata,"62,518",584.82,107,2004-11-01
Itoigawa,糸魚川市,Niigata,"48,653",746.24,65.2,2005-03-19
TokamachiTōkamachi,十日町市,Niigata,"60,480",589.92,103,2005-04-01
SanjoSanjō,三条市,Niigata,"103,199",432.01,239,2005-05-01
Tainai,胎内市,Niigata,"32,165",265.18,121,2005-09-01
Gosen,五泉市,Niigata,"55,936",351.87,159,2006-01-01
Tsubame,燕市,Niigata,"82,910",110.88,748,2006-03-20
OitaŌita,大分市,Oita Ōita,"467,267",501.25,932,1911-04-01
Beppu,別府市,Oita Ōita,"127,345",125.15,"1,018",1924-04-01
Nakatsu,中津市,Oita Ōita,"84,179",491.09,171,1929-04-20
Hita,日田市,Oita Ōita,"72,601",666.19,109,1940-12-11
Saiki,佐伯市,Oita Ōita,"78,675",903.44,87.1,1941-04-29
Usuki,臼杵市,Oita Ōita,"42,464",291.07,146,1950-04-01
Tsukumi,津久見市,Oita Ōita,"20,561",79.53,259,1951-04-01
Taketa,竹田市,Oita Ōita,"25,449",477.59,53.3,1954-03-31
Bungotakada,豊後高田市,Oita Ōita,"24,484",206.64,118,1954-05-31
Usa,宇佐市,Oita Ōita,"59,971",439.12,137,1967-04-01
Bungo-OnoBungo-Ōno,豊後大野市,Oita Ōita,"40,409",603.36,67.0,2005-03-31
Kitsuki,杵築市,Oita Ōita,"33,465",280.01,120,2005-10-01
Yufu,由布市,Oita Ōita,"35,298",319.16,111,2005-10-01
Kunisaki,国東市,Oita Ōita,"33,473",317.81,105,2006-03-31
Okayama,岡山市,Okayama,"720,841",789.91,887,1889-06-01
Kurashiki,倉敷市,Okayama,"472,452",354.71,"1,332",1928-04-01
Tsuyama,津山市,Okayama,"109,493",506.36,216,1929-02-11
Tamano,玉野市,Okayama,"65,723",103.63,634,1940-08-03
Kasaoka,笠岡市,Okayama,"55,987",136.03,412,1952-04-01
Ibara,井原市,Okayama,"44,423",243.36,183,1953-04-01
SojaSōja,総社市,Okayama,"66,789",212.00,315,1954-03-31
Takahashi,高梁市,Okayama,"37,573",547.01,68.7,1954-05-01
Niimi,新見市,Okayama,"35,022",793.27,44.1,1954-06-01
Bizen,備前市,Okayama,"39,117",258.23,151,1971-04-01
Setouchi,瀬戸内市,Okayama,"38,645",125.53,308,2004-11-01
Akaiwa,赤磐市,Okayama,"43,742",209.43,209,2005-03-07
Maniwa,真庭市,Okayama,"50,405",828.43,60.8,2005-03-31
Mimasaka,美作市,Okayama,"31,550",429.19,73.5,2005-03-31
Asakuchi,浅口市,Okayama,"37,108",66.46,558,2006-03-21
Naha,那覇市,Okinawa,"314,162",39.23,"7,963",1921-05-20
Ishigaki,石垣市,Okinawa,"46,489",229.00,195,1947-07-10
Ginowan,宜野湾市,Okinawa,"91,233",19.70,"4,569",1962-07-01
Urasoe,浦添市,Okinawa,"108,052",19.09,"5,516",1970-07-01
Nago,名護市,Okinawa,"60,598",210.30,278,1970-08-01
Itoman,糸満市,Okinawa,"56,171",46.63,"1,200",1971-12-01
Okinawa,沖縄市,Okinawa,"128,421",49.00,"2,565",1974-04-01
Tomigusuku,豊見城市,Okinawa,"54,586",19.45,"2,751",2002-04-01
Uruma,うるま市,Okinawa,"114,087",86.03,"1,313",2005-04-01
Miyakojima,宮古島市,Okinawa,"52,777",204.54,275,2005-10-01
NanjoNanjō,南城市,Okinawa,"39,458",49.70,819,2006-01-01
Osaka,大阪市,Osaka,"2,691,185",222.30,"11,900",1889-04-01
Sakai,堺市,Osaka,"828,741",149.99,"5,569",1889-04-01
Kishiwada,岸和田市,Osaka,"200,538",72.24,"2,776",1922-11-01
Toyonaka,豊中市,Osaka,"387,269",36.38,"10,645",1936-10-15
Ikeda,池田市,Osaka,"104,426",22.09,"4,727",1939-04-29
Suita,吹田市,Osaka,"354,600",36.11,"9,820",1940-04-01
IzumiotsuIzumiōtsu,泉大津市,Osaka,"78,014",12.80,"6,095",1942-04-01
Takatsuki,高槻市,Osaka,"354,228",105.31,"3,364",1943-01-01
Kaizuka,貝塚市,Osaka,"90,447",43.99,"2,056",1943-05-01
Moriguchi,守口市,Osaka,"146,294",12.73,"11,492",1946-11-01
Hirakata,枚方市,Osaka,"406,201",65.08,"6,242",1947-08-01
Ibaraki,茨木市,Osaka,"272,240",76.52,"3,558",1948-01-01
Yao,八尾市,Osaka,"273,244",41.71,"6,551",1948-04-01
Izumisano,泉佐野市,Osaka,"99,636",55.03,"1,811",1948-04-01
Tondabayashi,富田林市,Osaka,"122,205",39.66,"3,081",1950-04-01
Neyagawa,寝屋川市,Osaka,"239,029",24.73,"9,666",1951-05-03
Kawachinagano,河内長野市,Osaka,"114,428",109.61,"1,044",1954-04-01
Matsubara,松原市,Osaka,"125,274",16.66,"7,519",1955-02-01
DaitoDaitō,大東市,Osaka,"125,847",18.27,"6,888",1956-04-01
Izumi,和泉市,Osaka,"179,352",84.98,"2,110",1956-09-01
Minoh,箕面市,Osaka,"127,757",47.84,"2,671",1956-12-01
Kashiwara,柏原市,Osaka,"75,875",25.39,"2,988",1958-10-01
Habikino,羽曳野市,Osaka,"118,281",26.44,"4,474",1959-01-15
Kadoma,門真市,Osaka,"130,026",12.28,"10,588",1963-08-01
Settsu,摂津市,Osaka,"84,330",14.88,"5,667",1966-11-01
Takaishi,高石市,Osaka,"60,077",11.35,"5,293",1966-11-01
Fujiidera,藤井寺市,Osaka,"65,892",8.89,"7,412",1966-11-01
HigashiosakaHigashiōsaka,東大阪市,Osaka,"509,157",61.81,"8,237",1967-02-01
Sennan,泉南市,Osaka,"64,916",48.48,"1,339",1970-07-01
ShijonawateShijōnawate,四條畷市,Osaka,"57,239",18.74,"3,054",1970-07-01
Katano,交野市,Osaka,"77,853",25.55,"3,047",1971-11-03
OsakasayamaŌsakasayama,大阪狭山市,Osaka,"58,661",11.86,"4,946",1987-10-01
Hannan,阪南市,Osaka,"56,853",36.10,"1,575",1991-10-01
Tosu,鳥栖市,Saga,"66,842",71.73,932,1954-04-01
Imari,伊万里市,Saga,"57,604",254.99,226,1954-04-01
Kashima,鹿島市,Saga,"31,326",112.10,279,1954-04-01
Taku,多久市,Saga,"22,165",96.93,229,1954-05-01
Karatsu,唐津市,Saga,"129,194",487.45,265,2005-01-01
Ogi,小城市,Saga,"45,516",95.85,475,2005-03-01
Saga,佐賀市,Saga,"239,932",431.42,556,2005-10-01
Ureshino,嬉野市,Saga,"29,644",126.51,234,2006-01-01
Takeo,武雄市,Saga,"50,788",195.44,260,2006-03-01
Kanzaki,神埼市,Saga,"33,449",125.01,268,2006-03-20
Kawagoe,川越市,Saitama,"335,693",109.16,"3,075",1922-12-01
Kawaguchi,川口市,Saitama,"552,883",61.97,"8,922",1933-04-01
GyodaGyōda,行田市,Saitama,"87,462",67.37,"1,298",1949-05-03
Chichibu,秩父市,Saitama,"69,139",577.69,120,1950-04-01
Tokorozawa,所沢市,Saitama,"338,560",71.99,"4,703",1950-11-03
HannoHannō,飯能市,Saitama,"84,053",193.16,435,1954-01-01
Kazo,加須市,Saitama,"67,862",59.40,"1,142",1954-05-03
Higashimatsuyama,東松山市,Saitama,"90,840",65.33,"1,390",1954-07-01
Sayama,狭山市,Saitama,"156,634",49.04,"3,194",1954-07-01
HanyuHanyū,羽生市,Saitama,"56,820",58.55,970,1954-09-01
KonosuKōnosu,鴻巣市,Saitama,"119,768",67.49,"1,775",1954-09-30
Ageo,上尾市,Saitama,"222,479",45.55,"4,884",1958-07-15
SokaSōka,草加市,Saitama,"237,964",27.42,"8,678",1958-11-01
Koshigaya,越谷市,Saitama,"318,592",60.31,"5,283",1958-11-03
Warabi,蕨市,Saitama,"70,410",5.10,"13,806",1959-04-01
Toda,戸田市,Saitama,"118,591",18.17,"6,527",1966-10-01
Iruma,入間市,Saitama,"148,203",44.74,"3,313",1966-11-01
Asaka,朝霞市,Saitama,"126,902",18.38,"6,904",1967-03-15
Shiki,志木市,Saitama,"68,531",9.06,"7,564",1970-10-26
WakoWakō,和光市,Saitama,"78,575",11.04,"7,117",1970-10-31
Niiza,新座市,Saitama,"155,926",22.80,"6,839",1970-11-01
Okegawa,桶川市,Saitama,"74,703",25.26,"2,957",1970-11-03
Kuki,久喜市,Saitama,"71,667",25.35,"2,827",1971-10-01
Kitamoto,北本市,Saitama,"69,903",19.84,"3,523",1971-11-03
Yashio,八潮市,Saitama,"78,601",18.03,"4,359",1972-01-15
Fujimi,富士見市,Saitama,"105,286",19.70,"5,344",1972-04-10
Misato,三郷市,Saitama,"128,956",30.16,"4,276",1972-05-03
Hasuda,蓮田市,Saitama,"63,375",27.27,"2,324",1972-10-01
Sakado,坂戸市,Saitama,"99,680",40.97,"2,433",1976-09-01
Satte,幸手市,Saitama,"53,485",33.95,"1,575",1986-10-01
Tsurugashima,鶴ヶ島市,Saitama,"70,131",17.73,"3,955",1991-09-01
Hidaka,日高市,Saitama,"55,454",47.50,"1,167",1991-10-01
Yoshikawa,吉川市,Saitama,"63,050",31.62,"1,994",1996-04-01
Saitama,さいたま市,Saitama,"1,324,854",217.49,"5,483",2001-05-01
Kumagaya,熊谷市,Saitama,"204,853",159.88,"1,281",2005-10-01
Kasukabe,春日部市,Saitama,"236,854",65.98,"3,590",2005-10-01
Fujimino,ふじみ野市,Saitama,"103,724",14.67,"7,070",2005-10-01
Fukaya,深谷市,Saitama,"146,128",137.58,"1,062",2006-01-01
HonjoHonjō,本庄市,Saitama,"81,805",89.71,912,2006-01-10
HonjoShiraoka,白岡市,Saitama,"51,684",24.92,"2,070",2012-10-01
OtsuŌtsu,大津市,Shiga,"329,024",464.10,709,1898-10-01
Hikone,彦根市,Shiga,"110,945",196.84,564,1937-02-11
Kusatsu,草津市,Shiga,"123,512",67.92,"1,818",1954-10-15
Moriyama,守山市,Shiga,"74,263",54.81,"1,355",1970-07-01
RittoRittō,栗東市,Shiga,"62,353",52.75,"1,182",2001-10-01
KokaKōka,甲賀市,Shiga,"94,007",481.69,195,2004-10-01
Yasu,野洲市,Shiga,"49,821",81.07,615,2004-10-01
Konan,湖南市,Shiga,"55,144",70.49,782,2004-10-01
Takashima,高島市,Shiga,"52,967",693.00,76.4,2005-01-01
HigashiomiHigashiōmi,東近江市,Shiga,"117,487",388.58,302,2005-02-11
Maibara,米原市,Shiga,"40,757",250.46,163,2005-02-14
Nagahama,長浜市,Shiga,"113,079",681.02,166,2006-02-13
OmihachimanŌmihachiman,近江八幡市,Shiga,"81,456",177.45,459,2010-03-21
Matsue,松江市,Shimane,"195,875",530.27,369,1889-04-01
Izumo,出雲市,Shimane,"146,115",543.48,269,1941-11-03
Masuda,益田市,Shimane,"50,980",733.16,69.5,1952-08-01
Yasugi,安来市,Shimane,"42,997",420.97,102,1954-04-01
GotsuGōtsu,江津市,Shimane,"26,958",268.51,100,1954-04-01
Unnan,雲南市,Shimane,"43,269",553.37,78.2,2004-11-01
Hamada,浜田市,Shimane,"61,325",689.60,88.9,2005-10-01
OdaŌda,大田市,Shimane,"39,593",436.11,90.8,2005-10-01
Shizuoka,静岡市,Shizuoka,"710,944","1,388.78",512,1889-04-01
Hamamatsu,浜松市,Shizuoka,"690,881","1,511.17",537,1911-07-01
Numazu,沼津市,Shizuoka,"206,818",187.11,"1,105",1923-07-01
Atami,熱海市,Shizuoka,"40,524",61.56,658,1937-04-10
Mishima,三島市,Shizuoka,"112,320",62.13,"1,808",1941-04-29
Fujinomiya,富士宮市,Shizuoka,"122,122",314.81,388,1942-06-01
ItoItō,伊東市,Shizuoka,"72,038",124.13,580,1947-08-10
Shimada,島田市,Shizuoka,"95,762",195.40,490,1948-01-01
Iwata,磐田市,Shizuoka,"172,583",164.08,"1,052",1948-04-01
Yaizu,焼津市,Shizuoka,"120,331",46.01,"2,615",1951-03-01
Kakegawa,掛川市,Shizuoka,"118,660",265.63,447,1954-03-31
Fujieda,藤枝市,Shizuoka,"129,637",140.74,921,1954-03-31
Gotemba,御殿場市,Shizuoka,"88,078",194.63,453,1955-02-11
Fukuroi,袋井市,Shizuoka,"85,163",108.56,784,1958-11-03
Fuji,富士市,Shizuoka,"237,279",214.10,"1,108",1966-11-01
Shimoda,下田市,Shizuoka,"25,784",104.70,246,1971-01-01
Susono,裾野市,Shizuoka,"53,740",138.39,388,1971-01-01
Kosai,湖西市,Shizuoka,"44,545",55.08,809,1972-01-01
Izu,伊豆市,Shizuoka,"35,911",363.97,98.7,2004-04-01
Omaezaki,御前崎市,Shizuoka,"35,015",65.85,532,2004-04-01
Kikugawa,菊川市,Shizuoka,"47,702",94.24,506,2005-01-17
Izunokuni,伊豆の国市,Shizuoka,"49,711",94.71,525,2005-04-01
Makinohara,牧之原市,Shizuoka,"49,726",111.50,446,2005-10-11
Utsunomiya,宇都宮市,Tochigi,"507,833",416.84,"1,218",1896-04-01
Ashikaga,足利市,Tochigi,"157,793",177.82,887,1921-01-01
Tochigi,栃木市,Tochigi,"81,601",122.06,669,1937-04-01
Kanuma,鹿沼市,Tochigi,"103,690",490.62,211,1948-10-10
Oyama,小山市,Tochigi,"162,283",171.61,946,1954-03-31
Mooka,真岡市,Tochigi,"66,705",111.76,597,1954-10-01
OtawaraŌtawara,大田原市,Tochigi,"78,563",354.12,222,1954-12-01
Yaita,矢板市,Tochigi,"35,462",170.66,208,1958-11-01
Nasushiobara,那須塩原市,Tochigi,"115,633",592.82,195,2005-01-01
Sano,佐野市,Tochigi,"123,034",356.07,346,2005-02-28
Sakura,さくら市,Tochigi,"42,403",125.46,338,2005-03-28
Nasukarasuyama,那須烏山市,Tochigi,"30,433",174.42,174,2005-10-01
Shimotsuke,下野市,Tochigi,"59,459",74.58,797,2006-01-10
NikkoNikkō,日光市,Tochigi,"92,181","1,449.87",63.6,2006-03-20
Tokushima,徳島市,Tokushima,"266,370",191.39,"1,392",1889-10-01
Naruto,鳴門市,Tokushima,"62,453",135.46,461,1947-03-15
Komatsushima,小松島市,Tokushima,"41,540",45.24,918,1951-06-01
Anan,阿南市,Tokushima,"77,099",279.39,276,1958-05-01
Yoshinogawa,吉野川市,Tokushima,"44,905",144.19,311,2004-10-01
Mima,美馬市,Tokushima,"33,520",367.38,91.2,2005-03-01
Awa,阿波市,Tokushima,"40,303",190.97,211,2005-04-01
Miyoshi,三好市,Tokushima,"30,998",721.48,42.96,2006-03-01
HachiojiHachiōji,八王子市,Tokyo,"567,367",186.31,"3,045",1917-09-01
Tachikawa,立川市,Tokyo,"175,639",24.38,"7,204",1940-12-01
Musashino,武蔵野市,Tokyo,"138,516",10.73,"12,909",1947-11-03
Mitaka,三鷹市,Tokyo,"180,797",16.50,"10,957",1950-11-03
OmeŌme,青梅市,Tokyo,"141,708",103.26,"1,372",1951-04-01
FuchuFuchū,府中市,Tokyo,"248,445",29.34,"8,468",1954-04-01
Akishima,昭島市,Tokyo,"111,763",17.33,"6,449",1954-05-01
ChofuChōfu,調布市,Tokyo,"219,053",21.53,"10,174",1955-04-01
Machida,町田市,Tokyo,"413,786",71.63,"5,777",1958-02-01
Koganei,小金井市,Tokyo,"115,116",11.33,"10,160",1958-10-01
Kodaira,小平市,Tokyo,"185,829",20.46,"9,083",1962-10-01
Hino,日野市,Tokyo,"179,482",27.53,"6,520",1963-11-03
Higashimurayama,東村山市,Tokyo,"146,585",17.17,"8,537",1964-04-01
Kokubunji,国分寺市,Tokyo,"118,801",11.48,"10,349",1964-11-03
Kunitachi,国立市,Tokyo,"73,362",8.15,"9,001",1967-01-01
Fussa,福生市,Tokyo,"60,413",10.24,"5,900",1970-07-01
Komae,狛江市,Tokyo,"78,237",6.39,"12,244",1970-10-01
Higashiyamato,東大和市,Tokyo,"81,445",13.54,"6,015",1970-10-01
Kiyose,清瀬市,Tokyo,"73,518",10.19,"7,215",1970-10-01
Higashikurume,東久留米市,Tokyo,"115,405",12.92,"8,932",1970-10-01
Musashimurayama,武蔵村山市,Tokyo,"68,333",15.37,"4,446",1970-11-03
Tama,多摩市,Tokyo,"149,404",21.08,"7,087",1971-11-01
Inagi,稲城市,Tokyo,"80,772",17.97,"4,495",1971-11-01
Hamura,羽村市,Tokyo,"56,984",9.91,"5,750",1991-11-01
Akiruno,あきる野市,Tokyo,"80,268",73.34,"1,094",1995-09-01
NishitokyoNishitōkyō,西東京市,Tokyo,"207,270",15.85,"13,160",2001-01-21
Tokyo Ward AATokyo,東京特別区部,Tokyo,"14,094,034",621.81,"13,890",
Tokyo WardAdachi,足立区,Tokyo,"629,392",53.20,"11,830",1947-03-13
Tokyo WardArakawa,荒川区,Tokyo,"194,777",10.20,"18,262",1947-03-13
Tokyo WardBunkyō,文京区,Tokyo,"194,933",11.31,"16,009",1947-03-13
Tokyo WardChiyoda,千代田区,Tokyo,"43,802",11.64,"3,763",1947-03-13
Tokyo WardChūō,中央区,Tokyo,"104,997",10.15,"10,344",1947-03-13
Tokyo WardEdogawa,江戸川区,Tokyo,"661,386",49.86,"13,264",1947-03-13
Tokyo WardItabashi,板橋区,Tokyo,"529,059",32.17,"16,445",1947-03-13
Tokyo WardKatsushika,葛飾区,Tokyo,"428,066",34.84,"12,286",1947-03-13
Tokyo WardKita,北区,Tokyo,"330,646",20.59,"15,885",1947-03-13
Tokyo WardKōtō,江東区,Tokyo,"436,337",39.80,"10,963",1947-03-13
Tokyo WardMeguro,目黒区,Tokyo,"267,798",14.70,"18,217",1947-03-13
Tokyo WardMinato,港区,Tokyo,"205,196",20.34,"10,088",1947-03-13
Tokyo WardNakano,中野区,Tokyo,"312,939",15.59,"20,097",1947-03-13
Tokyo WardNerima,練馬区,Tokyo,"744,026",48.16,"14,580",1947-08-01
Tokyo WardOtaŌta,大田区,Tokyo,"716,413",59.46,"11,345",1947-03-13
Tokyo WardSetagaya,世田谷区,Tokyo,"939,099",58.08,"14,728",1947-03-13
Tokyo WardShibuya,渋谷区,Tokyo,"205,512",15.11,"13,337",1947-03-13
Tokyo WardShinagawa,品川区,Tokyo,"353,887",22.72,"15,576",1947-03-13
Tokyo WardShinjuku,新宿区,Tokyo,"309,463",18.23,"16,975",1947-03-13
Tokyo WardSuginami,杉並区,Tokyo,"534,981",34.02,"15,725",1947-03-13
Tokyo WardSumida,墨田区,Tokyo,"237,433",13.75,"16,079",1947-03-13
Tokyo WardTaitō,台東区,Tokyo,"168,277",10.08,"16,139",1947-03-13
Tokyo WardToshima,豊島区,Tokyo,"256,009",13.01,"19,428",1947-03-13
