地区名,支店名,支店詳細URL,電話番号,郵便番号,住所
近畿地区（大阪府除く）,西宮支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=179,0798-66-3500 ; 050-3194-0179 ; ,663-8204,兵庫県西宮市高松町3-32
近畿地区（大阪府除く）,宝塚営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=943,0798-55-7330 ; 050-3194-1044 ; ,665-0845,兵庫県宝塚市栄町2-1-2ソリオ2　8階
近畿地区（大阪府除く）,奈良支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=174,0742-23-1271 ; 050-3194-0174 ; ,630-8227,奈良県奈良市林小路町8-1ニッセイ奈良若草ビル2階
近畿地区（大阪府除く）,学園前営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=957,0742-55-0550 ; 050-3194-1053 ; ,631-0036,奈良県奈良市学園北1-10-1パラディ学園前�T　2階
近畿地区（大阪府除く）,大和八木営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=936,0742-55-0555 ; 050-3194-1057 ; ,634-0804,奈良県橿原市内膳町1-1-11U・遊上田ビル　3階
近畿地区（大阪府除く）,和歌山支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=190,073-431-1131 ; 050-3194-0190 ; ,640-8203,和歌山県和歌山市東蔵前丁39キーノ和歌山1階
近畿地区（大阪府）,大阪支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=130,06-6454-7778 ; 050-3194-0130 ; ,530-0001,大阪府大阪市北区梅田1-13-1大阪梅田ツインタワーズ・サウス　20階
近畿地区（大阪府）,北千里営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=966,06-6454-7780 ; 050-3194-1005 ; ,565-0874,大阪府吹田市古江台4-2-60北千里医療ビル2階
近畿地区（大阪府）,難波支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=162,06-6632-5151 ; 050-3194-0162 ; ,542-0076,大阪府大阪市中央区難波5-1-60
近畿地区（大阪府）,東大阪営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=935,06-4977-6620 ; 050-3194-1054 ; ,577-0841,大阪府東大阪市足代2-1-7ターフィーズフラット布施駅前2階
近畿地区（大阪府）,堺営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=170,06-7173-2850 ; 050-3194-0170 ; ,590-0075,大阪府堺市堺区南花田口町2-3-1堺東高橋ビル8階
近畿地区（大阪府）,泉ヶ丘営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=948,06-7176-1070 ; 050-3194-1052 ; ,590-0111,大阪府堺市南区三原台1-1-3ジョイパーク泉ヶ丘　1階
近畿地区（大阪府）,北野田営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=937,06-7176-7600 ; 050-3194-1056 ; ,599-8123,大阪府堺市東区 北野田1-1ヴェリテ北野田プラチナム　1階
近畿地区（大阪府）,鳳営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=907,06-7177-1100 ; 050-3194-1070 ; ,593-8325,大阪府堺市西区鳳南町3-199-12アリオ鳳2階
近畿地区（大阪府）,京橋支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=171,06-6354-1201 ; 050-3194-0171 ; ,534-0024,大阪府大阪市都島区東野田町2-3-14
近畿地区（大阪府）,香里園営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=988,06-4967-4410 ; 050-3194-1026 ; ,572-0084,大阪府寝屋川市香里南之町30-14第2香栄ビル1階
近畿地区（大阪府）,阿倍野支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=166,06-6624-0333 ; 050-3194-0166 ; ,545-6018,大阪府大阪市阿倍野区阿倍野筋1-1-43あべのハルカス18階
近畿地区（大阪府）,岸和田支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=167,072-423-3501 ; 050-3194-0167 ; ,596-0055,大阪府岸和田市五軒屋町3-8
近畿地区（大阪府）,豊中支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=173,06-6854-1131 ; 050-3194-0173 ; ,560-0021,大阪府豊中市本町1-5-9
近畿地区（大阪府）,千里中央営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=956,06-7176-1510 ; 050-3194-1050 ; ,560-0082,大阪府豊中市新千里東町1-4-1阪急千里中央ビル　5階
近畿地区（大阪府）,茨木支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=176,072-632-0651 ; 050-3194-0176 ; ,567-0829,大阪府茨木市双葉町10-1
中国・四国地区,鳥取支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=610,0857-29-1511 ; 050-3194-0610 ; ,680-8511,鳥取県鳥取市今町1-121
中国・四国地区,松江支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=609,0852-27-7151 ; 050-3194-0609 ; ,690-0003,島根県松江市朝日町480-8松江SKYビル4階
中国・四国地区,岡山支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=600,086-225-1111 ; 050-3194-0600 ; ,700-0903,岡山県岡山市北区幸町7-28源吉兆庵　岡山本社ビル7階
中国・四国地区,倉敷営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=997,086-941-7570 ; 050-3194-1077 ; ,710-0055,岡山県倉敷市阿知３丁目９−１あちてらす倉敷　１階
中国・四国地区,広島支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=630,082-264-5123 ; 050-3194-0630 ; ,732-0822,広島県広島市南区松原町2-62広島JPビルディング　12階
中国・四国地区,福山支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=631,084-931-3333 ; 050-3194-0631 ; ,720-8641,広島県福山市延広町1-1
中国・四国地区,下関支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=804,083-231-5151 ; 050-3194-0804 ; ,750-0016,山口県下関市細江町1-2-12
中国・四国地区,徳山支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=632,0834-21-5601 ; 050-3194-0632 ; ,745-8611,山口県周南市みなみ銀座1-1
中国・四国地区,山口営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=964,0834-21-5670 ; 050-3194-1003 ; ,753-0074,山口県山口市中央3-1-7ミツイビル3階
中国・四国地区,徳島支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=710,088-623-0131 ; 050-3194-0710 ; ,770-0834,徳島県徳島市元町1-24
中国・四国地区,高松支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=700,087-822-2222 ; 050-3194-0700 ; ,760-8611,香川県高松市番町1-1-1
中国・四国地区,松山支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=730,089-941-7101 ; 050-3194-0730 ; ,790-0003,愛媛県松山市三番町3-9-10
中国・四国地区,新居浜支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=731,0897-33-5800 ; 050-3194-0731 ; ,792-0025,愛媛県新居浜市一宮町1-5-50三和住宅ビル3階
中国・四国地区,高知法人営業部,https://www.daiwa.jp/service/channel/brc/721/,087-805-0350 ; 050-3194-0721 ; ,780-0870,高知県高知市本町1丁目1番3号
九州・沖縄地区,福岡支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=800,092-713-4007 ; 050-3194-0800 ; ,810-0001,福岡県福岡市中央区天神1-12-5　2階
九州・沖縄地区,香椎営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=951,092-577-9660 ; 050-3194-1037 ; ,813-0013,福岡県福岡市東区香椎駅前二丁目11-15香椎プリンス�V4階
九州・沖縄地区,春日原営業所,https://www.daiwa.jp/event/app/brc_info?siten_cd=902,092-515-1690 ; 050-3194-1048 ; ,816-0802,福岡県春日市春日原北町4-7アドバンストラスト18　1階
九州・沖縄地区,北九州支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=801,093-531-1141 ; 050-3194-0801 ; ,802-0003,福岡県北九州市小倉北区米町1-2-26
九州・沖縄地区,久留米支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=805,0942-33-2131 ; 050-3194-0805 ; ,830-0032,福岡県久留米市東町35-9
九州・沖縄地区,佐賀支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=810,0952-24-6121 ; 050-3194-0810 ; ,840-0816,佐賀県佐賀市駅南本町4-1
九州・沖縄地区,長崎支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=820,095-823-0181 ; 050-3194-0820 ; ,850-0033,長崎県長崎市万才町3-5朝日生命長崎ビル9階
九州・沖縄地区,熊本支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=830,096-353-2551 ; 050-3194-0830 ; ,860-8688,熊本県熊本市中央区辛島町5-1日本生命熊本ビル6階
九州・沖縄地区,大分支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=808,097-537-8111 ; 050-3194-0808 ; ,870-0035,大分県大分市中央町1-4-26
九州・沖縄地区,宮崎支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=835,0985-29-5211 ; 050-3194-0835 ; ,880-0806,宮崎県宮崎市広島1-18-12宮崎フコク生命ビル2階
九州・沖縄地区,鹿児島支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=840,099-223-5141 ; 050-3194-0840 ; ,892-0843,鹿児島県鹿児島市千日町1-1センテラス天文館6階
九州・沖縄地区,那覇支店,https://www.daiwa.jp/event/app/brc_info?siten_cd=841,098-861-5200 ; 050-3194-0841 ; ,900-0032,沖縄県那覇市松山1-1-14那覇共同ビル1階
